Ali	9/1/2023	9:00	9:45	Appointment
Ali	10/1/2023	9:00	10:00	Appointment
Ali	11/1/2023	10:15	10:45	Appointment
Ali	12/1/2023	9:00	10:30	Appointment
Ali	13/1/2023	16:00	16:45	Appointment
Ali	16/1/2023	9:00	10:45	Appointment
Ali	17/1/2023	9:00	11:00	Appointment
Ali	18/1/2023	10:15	11:00	Appointment
Ali	19/1/2023	9:00	10:45	Appointment
Ali	20/1/2023	9:00	10:45	Appointment
Ali	23/1/2023	10:15	11:00	Appointment
Ali	24/1/2023	9:15	9:45	Appointment
Ali	25/1/2023	9:00	9:15	Appointment
Ali	26/1/2023	9:00	10:00	Appointment
Ali	27/1/2023	10:15	11:00	Appointment
Ali	28/1/2023	9:00	9:15	Appointment
Ali	29/1/2023	9:00	10:00	Appointment
Ali	30/1/2023	14:45	15:00	Appointment
Ali	31/1/2023	14:15	15:00	Appointment
Mary Jane	9/2/2023	10:00	14:00	Operation
